,uni_id,date,exchange,type,open,high,low,close,close_adj,volume,listed_date,de_listed_date
98881,IF2203,2021-09-03,ZJS,2,4764.4,4793.8,4729.8,4749.0,4750.4,3317,2021-07-19,2022-03-18
98882,IF2203,2021-09-06,ZJS,2,4759.0,4847.2,4744.4,4821.8,4829.4,3990,2021-07-19,2022-03-18
98883,IF2203,2021-09-07,ZJS,2,4821.8,4914.0,4806.0,4892.6,4896.6,3638,2021-07-19,2022-03-18
98884,IF2203,2021-09-08,ZJS,2,4899.2,4924.8,4855.0,4865.6,4867.6,4211,2021-07-19,2022-03-18
98885,IF2203,2021-09-09,ZJS,2,4850.2,4865.0,4822.6,4860.4,4856.8,3022,2021-07-19,2022-03-18
98886,IF2203,2021-09-10,ZJS,2,4860.2,4955.8,4860.2,4928.0,4930.8,3844,2021-07-19,2022-03-18
98887,IF2203,2021-09-13,ZJS,2,4920.0,4946.4,4863.2,4891.2,4888.0,3743,2021-07-19,2022-03-18
98888,IF2203,2021-09-14,ZJS,2,4890.8,4913.8,4802.0,4818.4,4826.8,4406,2021-07-19,2022-03-18
98889,IF2203,2021-09-15,ZJS,2,4814.4,4815.0,4747.6,4778.6,4767.0,4790,2021-07-19,2022-03-18
98890,IF2203,2021-09-16,ZJS,2,4780.0,4795.0,4729.0,4740.0,4742.0,6607,2021-07-19,2022-03-18
98891,IF2203,2021-09-17,ZJS,2,4737.6,4800.4,4720.6,4792.6,4788.6,5301,2021-07-19,2022-03-18
98892,IF2203,2021-09-22,ZJS,2,4736.4,4776.8,4712.2,4759.0,4755.2,5171,2021-07-19,2022-03-18
98893,IF2203,2021-09-23,ZJS,2,4779.2,4818.4,4760.6,4780.0,4773.8,3119,2021-07-19,2022-03-18
98894,IF2203,2021-09-24,ZJS,2,4780.2,4837.2,4775.0,4800.0,4800.6,3423,2021-07-19,2022-03-18
98895,IF2203,2021-09-27,ZJS,2,4820.0,4867.6,4788.0,4837.2,4827.0,5075,2021-07-19,2022-03-18
98896,IF2203,2021-09-28,ZJS,2,4822.8,4852.8,4797.4,4822.0,4822.2,3308,2021-07-19,2022-03-18
98897,IF2203,2021-09-29,ZJS,2,4795.0,4822.0,4741.2,4796.8,4801.4,4581,2021-07-19,2022-03-18
98898,IF2203,2021-09-30,ZJS,2,4802.4,4820.0,4793.6,4800.0,4808.4,3300,2021-07-19,2022-03-18
98899,IF2203,2021-10-08,ZJS,2,4835.0,4885.8,4835.0,4878.4,4878.2,4818,2021-07-19,2022-03-18
98900,IF2203,2021-10-11,ZJS,2,4886.6,4939.6,4876.0,4878.0,4888.8,4783,2021-07-19,2022-03-18
98901,IF2203,2021-10-12,ZJS,2,4870.0,4876.6,4787.6,4829.0,4810.0,3769,2021-07-19,2022-03-18
98902,IF2203,2021-10-13,ZJS,2,4828.0,4905.2,4821.0,4885.6,4889.8,3608,2021-07-19,2022-03-18
98903,IF2203,2021-10-14,ZJS,2,4885.6,4908.4,4849.2,4862.0,4867.6,2938,2021-07-19,2022-03-18
98904,IF2203,2021-10-15,ZJS,2,4855.2,4909.4,4837.6,4897.0,4899.0,5392,2021-07-19,2022-03-18
